# EXPERIMENT EM181A  
# CH01 1626.49 LSB 32.00 RCP 
# CH02 1626.49 LSB 32.00 LCP 
# CH03 1626.49 USB 32.00 RCP 
# CH04 1626.49 USB 32.00 LCP 
# POL XY 
# CAL_PREFIX scan cal 
J0408-6545 | PKS 0408-65 | PKS 0407-65, radec bfcal single_accumulation, 04:08:20.37884, -65:45:09.0806, (850.0 1720.0 66.46 -62.7 20.46 -2.265), scan cal00, 2025-02-22 11:47:00.000, 240 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0150, 2025-02-22 14:56:30.000, 90 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0151, 2025-02-22 14:58:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0152, 2025-02-22 15:02:00.000, 60 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0153, 2025-02-22 15:03:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0154, 2025-02-22 15:06:30.000, 90 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0155, 2025-02-22 15:08:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0156, 2025-02-22 15:12:00.000, 60 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0157, 2025-02-22 15:13:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0158, 2025-02-22 15:16:30.000, 90 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0159, 2025-02-22 15:18:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0160, 2025-02-22 15:22:00.000, 60 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0161, 2025-02-22 15:23:00.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0162, 2025-02-22 15:26:30.000, 90 
*3C48 | J0137+3309 | 0134+329 | J0137+33, radec, 01:37:41.2995122, 33:09:35.133861, (), scan No0164, 2025-02-22 15:35:00.000, 240 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0165, 2025-02-22 15:41:30.000, 180 
*4C31.04, radec, 01:19:35.0008760, 32:10:50.061967, (), scan No0166, 2025-02-22 15:44:30.000, 210 
*J0123+3044 | 0120+304, radec, 01:23:02.2814608, 30:44:06.917901, (), scan No0167, 2025-02-22 15:48:30.000, 60 
J0408-6545 | PKS 0408-65 | PKS 0407-65, radec bfcal single_accumulation, 04:08:20.37884, -65:45:09.0806, (850.0 1720.0 66.46 -62.7 20.46 -2.265), scan cal01, 2025-02-22 15:52:00.000, 240 
